date,home_team,away_team,home_score,away_score,competition,city,country,neutral,world_cup,winner
1871,Scotland,England,1,0,1871 Scotland v England International,Edinburgh,Scotland,FALSE,FALSE,Scotland
1872,England,Scotland,2,1,1871-72 Home Nations International,London,England,FALSE,FALSE,England
1873,Scotland,England,0,0,1872-73 Home Nations International,Glasgow,Scotland,FALSE,FALSE,Draw
1874,England,Scotland,1,0,1873-74 Home Nations International,London,England,FALSE,FALSE,England
1875,England,Ireland,2,0,1874-75 Home Nations rugby union matches,London,England,FALSE,FALSE,England
1875,Scotland,England,0,0,1874-75 Home Nations International,Edinburgh,Scotland,FALSE,FALSE,Draw
1875,Ireland,England,0,1,1875-76 Home Nations rugby union matches,Dublin,Ireland,FALSE,FALSE,England
1876,England,Scotland,1,0,1875-76 Home Nations International,London,England,FALSE,FALSE,England
1877,England,Ireland,2,0,1876-77 Home Nations rugby union matches,London,England,FALSE,FALSE,England
1877,Ireland,Scotland,0,6,1876-77 Home Nations rugby union matches,Belfast,Ireland,FALSE,FALSE,Scotland
1877,Scotland,England,1,0,1876-77 Home Nations International,Edinburgh,Scotland,FALSE,FALSE,Scotland
1878,England,Scotland,0,0,1877-78 Home Nations International,London,England,FALSE,FALSE,Draw
1878,Ireland,England,0,2,1877-78 Home Nations rugby union matches,Dublin,Ireland,FALSE,FALSE,England
1879,Ireland,Scotland,0,2,1878-79 Home Nations rugby union matches,Belfast,Ireland,FALSE,FALSE,Scotland
1879,Scotland,England,1,1,1878-79 Home Nations International,Edinburgh,Scotland,FALSE,FALSE,Draw
1879,England,Ireland,3,0,1878-79 Home Nations rugby union matches,London,England,FALSE,FALSE,England
1880,Ireland,England,0,1,1879-80 Home Nations rugby union matches,Dublin,Ireland,FALSE,FALSE,England
1880,Scotland,Ireland,3,0,1879-80 Home Nations rugby union matches,Glasgow,Scotland,FALSE,FALSE,Scotland
1880,England,Scotland,2,1,1879-80 Home Nations International,Manchester,England,FALSE,FALSE,England
1881,England,Ireland,2,0,1880-81 Home Nations rugby union matches,Manchester,England,FALSE,FALSE,England
1881,Ireland,Scotland,1,0,1880-81 Home Nations rugby union matches,Belfast,Ireland,FALSE,FALSE,Ireland
1881,England,Wales,8,0,Wales tour,Blackheath,England,FALSE,FALSE,England
1881,Scotland,England,1,1,1880-81 Home Nations International,Edinburgh,Scotland,FALSE,FALSE,Draw
1882,Ireland,Wales,0,2,1881-82 Home Nations rugby union matches,Dublin,Ireland,FALSE,FALSE,Wales
1882,Ireland,England,0,0,1881-82 Home Nations rugby union matches,Dublin,Ireland,FALSE,FALSE,Draw
1882,Scotland,Ireland,1,0,1881-82 Home Nations rugby union matches,Glasgow,Scotland,FALSE,FALSE,Scotland
1882,England,Scotland,0,1,1881-82 Home Nations International,Manchester,England,FALSE,FALSE,Scotland
1882,Wales,England,0,2,1883 Home Nations Championship,Swansea,Wales,FALSE,FALSE,England
1883,Scotland,Wales,3,1,1883 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1883,England,Ireland,1,0,1883 Home Nations Championship,Manchester,England,FALSE,FALSE,England
1883,Ireland,Scotland,0,1,1883 Home Nations Championship,Belfast,Ireland,FALSE,FALSE,Scotland
1883,Scotland,England,0,1,1883 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,England
1884,England,Wales,2,1,1884 Home Nations Championship,Leeds,England,FALSE,FALSE,England
1884,Wales,Scotland,0,1,1884 Home Nations Championship,Newport,Wales,FALSE,FALSE,Scotland
1884,Ireland,England,0,1,1884 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,England
1884,Scotland,Ireland,2,0,1884 Home Nations Championship,Glasgow,Scotland,FALSE,FALSE,Scotland
1884,England,Scotland,1,0,1884 Home Nations Championship,Blackheath,England,FALSE,FALSE,England
1884,Wales,Ireland,1,0,1884 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1885,Wales,England,1,2,1885 Home Nations Championship,Swansea,Wales,FALSE,FALSE,England
1885,Scotland,Wales,0,0,1885 Home Nations Championship,Glasgow,Scotland,FALSE,FALSE,Draw
1885,England,Ireland,1,0,1885 Home Nations Championship,Manchester,England,FALSE,FALSE,England
1885,Scotland,Ireland,1,0,1885 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1886,England,Wales,2,1,1886 Home Nations Championship,Blackheath,England,FALSE,FALSE,England
1886,Wales,Scotland,0,2,1886 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Scotland
1886,Ireland,England,0,1,1886 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,England
1886,Scotland,Ireland,4,0,1886 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1886,Scotland,England,0,0,1886 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Draw
1887,Wales,England,0,0,1887 Home Nations Championship,Llanelli,Wales,FALSE,FALSE,Draw
1887,Ireland,England,2,0,1887 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1887,Ireland,Scotland,0,2,1887 Home Nations Championship,Belfast,Ireland,FALSE,FALSE,Scotland
1887,Scotland,Wales,4,0,1887 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1887,England,Scotland,0,0,1887 Home Nations Championship,Manchester,England,FALSE,FALSE,Draw
1887,Wales,Ireland,0,1,1887 Home Nations Championship,Birkenhead,England,TRUE,FALSE,Ireland
1888,Wales,Scotland,1,0,1888 Home Nations Championship,Newport,Wales,FALSE,FALSE,Wales
1888,Ireland,Wales,2,0,1888 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1888,Scotland,Ireland,1,0,1888 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1889,Scotland,Wales,1,0,1889 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1889,Ireland,Scotland,0,1,1889 Home Nations Championship,Belfast,Ireland,FALSE,FALSE,Scotland
1889,Wales,Ireland,0,1,1889 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Ireland
1890,Wales,Scotland,2,8,1890 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Scotland
1890,England,Wales,0,1,1890 Home Nations Championship,Dewsbury,England,FALSE,FALSE,Wales
1890,Scotland,Ireland,5,0,1890 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1890,Ireland,Wales,3,3,1890 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Draw
1890,Scotland,England,0,6,1890 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,England
1890,England,Ireland,3,0,1890 Home Nations Championship,Blackheath,England,FALSE,FALSE,England
1891,Wales,England,3,7,1891 Home Nations Championship,Newport,Wales,FALSE,FALSE,England
1891,Scotland,Wales,15,0,1891 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1891,Ireland,England,0,9,1891 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,England
1891,Ireland,Scotland,0,14,1891 Home Nations Championship,Belfast,Ireland,FALSE,FALSE,Scotland
1891,Wales,Ireland,6,4,1891 Home Nations Championship,Llanelli,Wales,FALSE,FALSE,Wales
1891,England,Scotland,3,9,1891 Home Nations Championship,Richmond,England,FALSE,FALSE,Scotland
1892,England,Wales,17,0,1892 Home Nations Championship,Blackheath,England,FALSE,FALSE,England
1892,Wales,Scotland,2,7,1892 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Scotland
1892,England,Ireland,7,0,1892 Home Nations Championship,Manchester,England,FALSE,FALSE,England
1892,Scotland,Ireland,2,0,1892 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1892,Ireland,Wales,9,0,1892 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1892,Scotland,England,0,5,1892 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,England
1893,Wales,England,12,11,1893 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1893,Scotland,Wales,0,9,1893 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Wales
1893,Ireland,England,0,4,1893 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,England
1893,Ireland,Scotland,0,0,1893 Home Nations Championship,Belfast,Ireland,FALSE,FALSE,Draw
1893,England,Scotland,0,8,1893 Home Nations Championship,Leeds,England,FALSE,FALSE,Scotland
1893,Wales,Ireland,2,0,1893 Home Nations Championship,Llanelli,Wales,FALSE,FALSE,Wales
1894,England,Wales,24,3,1894 Home Nations Championship,Birkenhead,England,FALSE,FALSE,England
1894,England,Ireland,5,7,1894 Home Nations Championship,Blackheath,England,FALSE,FALSE,Ireland
1894,Wales,Scotland,7,0,1894 Home Nations Championship,Newport,Wales,FALSE,FALSE,Wales
1894,Ireland,Scotland,5,0,1894 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1894,Ireland,Wales,3,0,1894 Home Nations Championship,Belfast,Ireland,FALSE,FALSE,Ireland
1894,Scotland,England,6,0,1894 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1895,Wales,England,6,14,1895 Home Nations Championship,Swansea,Wales,FALSE,FALSE,England
1895,Scotland,Wales,5,4,1895 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1895,Ireland,England,3,6,1895 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,England
1895,Scotland,Ireland,6,0,1895 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1895,England,Scotland,3,6,1895 Home Nations Championship,Richmond,England,FALSE,FALSE,Scotland
1895,Wales,Ireland,5,3,1895 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1896,England,Wales,25,0,1896 Home Nations Championship,Blackheath,England,FALSE,FALSE,England
1896,Wales,Scotland,6,0,1896 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1896,England,Ireland,4,10,1896 Home Nations Championship,Leeds,England,FALSE,FALSE,Ireland
1896,Ireland,Scotland,0,0,1896 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Draw
1896,Scotland,England,11,0,1896 Home Nations Championship,Glasgow,Scotland,FALSE,FALSE,Scotland
1896,Ireland,Wales,8,4,1896 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1897,Wales,England,11,0,1897 Home Nations Championship,Newport,Wales,FALSE,FALSE,Wales
1897,Ireland,England,13,9,1897 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1897,Scotland,Ireland,8,3,1897 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1897,England,Scotland,12,3,1897 Home Nations Championship,Manchester,England,FALSE,FALSE,England
1898,England,Ireland,6,9,1898 Home Nations Championship,Richmond,England,FALSE,FALSE,Ireland
1898,Ireland,Scotland,0,8,1898 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Scotland
1898,Scotland,England,3,3,1898 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Draw
1898,Ireland,Wales,3,11,1898 Home Nations Championship,Limerick,Ireland,FALSE,FALSE,Wales
1898,England,Wales,14,7,1898 Home Nations Championship,Blackheath,England,FALSE,FALSE,England
1899,Wales,England,26,3,1899 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1899,Ireland,England,6,0,1899 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1899,Scotland,Ireland,3,9,1899 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Ireland
1899,Scotland,Wales,21,10,1899 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1899,England,Scotland,0,5,1899 Home Nations Championship,Blackheath,England,FALSE,FALSE,Scotland
