City,Title,Pop,Range,Region,NHL,NFL,NBA,MLB,MLS,Championships
Denver,8,"722,699",700k-800k,Central,NHL,NFL,NBA,MLB,MLS,
Kansas City,7,"513,649",500k-600k,Central,,NFL,,MLB,MLS,
Memphis,0,"633,686",600k-700k,Central,,,,,,
Nashville,0,"692,501",600k-700k,Central,,,,,,
Salt Lake City,1,"203,372",200k-300k,Central,,,,,MLS,
St. Louis,12,"296,958",200k-300k,Central,NHL,,,MLB,,
Atlanta,6,"504,360",500k-600k,East,,,NBA,MLB,MLS,MLB
Baltimore,5,"585,462",500k-600k,East,,NFL,,MLB,,NFL 
Boston,38,"666,783",600k-700k,East,NHL,NFL,NBA,MLB,,NBA
Buffalo,0,"278,252",200k-300k,East,,,,,,
Charlotte,0,"885,663",800k-900k,East,,,,,,
Jacksonville,0,"973,047",900k-1m,East,,,,,,
Miami,7,"452,942",400k-500k,East,,NFL,NBA,MLB,,
New York,45,8.51m,1m+,East,NHL,NFL,NBA,MLB,MLS,
Newark,3,"313,945",300k-400k,East,NHL,,,,,
Orlando,0,"317,867",300k-400k,East,,,,,,
Philadelphia,8,5.785m,1m+,East,NHL,NFL,NBA,MLB,,
Pittsburgh,16,"304,119",300k-400k,East,NHL,NFL,,MLB,,
Raleigh,1,"482,504",400k-500k,East,NHL,,,,,
Tampa,5,"395,276",300k-400k,East,NHL,NFL,,,,
Washington DC,10,"643,301",600k-700k,East,NHL,NFL,NBA,MLB,MLS,
Calgary,1,1.64m,1m+,North,NHL,,,,,
Chicago,20,2.704m,1m+,North,NHL,NFL,NBA,MLB,MLS,
Cincinnati,5,"313,026",300k-400k,North,,,,MLB,,
Cleveland,3,"372,171",300k-400k,North,,,NBA,MLB,,
Columbus,2,"915,038",900k-1m,North,,,,,MLS,
Detroit,18,3.521m,1m+,North,NHL,,NBA,MLB,,
Edmonton,5,1.544m,1m+,North,NHL,,,,,
Green Bay,4,"106,817",100k-200k,North,,NFL,,,,
Indianapolis,2,"890,740",800k-900k,North,,NFL,,,,
Milwaukee,2,"574,232",500k-600k,North,,,NBA,,,
Minneapolis,3,"452,336",400k-500k,North,,,,MLB,,
Montreal,24,4.308m,1m+,North,NHL,,,,,
Ottawa,0,"989,657",900k-1m,North,,,,,,
Saint Paul,0,"311,131",300k-400k,North,,,,,,
Toronto,17,6.37m,1m+,North,NHL,,NBA,MLB,MLS,
Vancouver,0,2.657m,1m+,North,,,,,,
Winnipeg,0,"841,000",800k-900k,North,,,,,,
Austin,0,"982,852",900k-1m,South,,,,,,MLS
Dallas,7,1.297m,1m+,South,NHL,NFL,NBA,,,
Houston,6,2.31m,1m+,South,,,NBA,MLB,MLS,
New Orleans,1,1.013m,1m+,South,,NFL,,,,
Oklahoma,1,1.018m,1m+,South,,,NBA,,,
Phoenix,1,1.64m,1m+,South,,,,MLB,,
San Antonio,5,1.47m,1m+,South,,,NBA,,,
Anaheim,1,"349,717",300k-400k,West,NHL,,,,,NBA
Las Vegas,4,"660,769",600k-700k,West,NHL,NFL,,,,
Los Angeles,35,3.86m,1m+,West,NHL,NFL,NBA,MLB,MLS,
Oakland,9,"440,981",400k-500k,West,,,,MLB,,
Portland,2,"647,505",600k-700k,West,,,NBA,,MLS,
Sacramento,1,"533,321",500k-600k,West,,,NBA,,,
San Diego,0,1.39m,1m+,West,,,,,,
San Francisco,20,3.238m,1m+,West,,NFL,NBA,MLB,,
San Jose,2,"994,272",900k-1m,West,,,,,MLS,
Seattle,3,3.519m,1m+,West,,NFL,,,MLS,
