City,Team,League,Division,Titles,Totals
Atlanta,Atlanta Braves,MLB,NL East,4,
Baltimore,Baltimore Orioles,MLB,AL East,3,
Boston,Boston Red Sox,MLB,AL East,9,
Chicago,Chicago Cubs,MLB,NL Central,3,
Chicago,Chicago White Sox,MLB,AL Central,3,20
Cincinnati,Cincinnati Reds,MLB,NL Central,5,
Cleveland,Cleveland Guardians,MLB,AL Central,2,3
Dallas,Texas Rangers,MLB,AL West,0,7
Denver,Colorado Rockies,MLB,NL West,0,
Detroit,Detroit Tigers,MLB,AL Central,4,18
Houston,Houston Astros,MLB,AL West,2,
Kansas City,Kansas City Royals,MLB,AL Central,2,
Los Angeles,Los Angeles Angles,MLB,AL West,1,
Los Angeles,Los Angeles Dodgers,MLB,NL West,7,
Miami,Miami Marlins,MLB,NL East,2,7
Milwaukee,Milwaukee Brewers,MLB,NL Central,0,
Minneapolis,Minnesota Twins,MLB,AL Central,3,
New York,New York Mets,MLB,NL East,2,
New York,New York Yankees,MLB,AL East,27,45
Oakland,Oakland Athletics,MLB,AL West,9,9
Philadelphia,Philadelphia Phillies,MLB,NL East,2,
Phoenix,Arizona Diamondbacks,MLB,NL West,1,
Pittsburgh,Pittsburgh Pirates,MLB,NL Central,5,
San Diego,San Diego Padres,MLB,NL West,0,0
San Francisco,San Francisco Giants,MLB,NL West,8,20
Seattle,Seattle Mariners,MLB,AL West,0,
St. Louis,St. Louis Cardinals,MLB,NL Central,11,12
Tampa,Tampa Bay Rays,MLB,AL East,0,5
Toronto,Toronto Blue Jays,MLB,AL East,2,
Washington DC,Washington Nationals,MLB,NL East,1,
Atlanta,Atlanta United FC,MLS,Eastern Conference,1,6
Austin,Austin FC,MLS,Western Conference,0,0
Boston,New England Revolution,MLS,Eastern Conference,0,38
Chicago,Chicago Fire FC,MLS,Eastern Conference,1,
Cincinnati,FC Cincinnati,MLS,Eastern Conference,0,5
Columbus,Columbus Crew,MLS,Eastern Conference,2,2
Dallas,FC Dallas,MLS,Western Conference,0,
Denver,Colorado Rapids,MLS,Western Conference,1,
Houston,Houston Dynamo FC,MLS,Western Conference,2,
Kansas City,Sporting Kansas City,MLS,Western Conference,2,7
Los Angeles,LA Galaxy,MLS,Western Conference,5,
Los Angeles,Los Angeles FC,MLS,Western Conference,1,
Miami,Inter Miami CF,MLS,Eastern Conference,0,
Montreal,Montréal CF,MLS,Eastern Conference,0,
Nashville,Nashville SC,MLS,Eastern Conference,0,
New York,New York City FC,MLS,Eastern Conference,1,
New York,New York Red Bulls,MLS,Eastern Conference,0,
